Store,WeekOfYear,OpenDays,PromoDays,SchoolHolidayDays,WeekendDays,MonthStartDays,MonthEndDays,StateHolidayDays,Year,Month,Quarter,CompetitionDistance,CompetitionOpenKnown,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,TimeIndex,sales_lag_1,sales_lag_2,sales_lag_4,sales_lag_8,sales_lag_52,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,EMA_4,EMA_8,days_since_last_promo,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,"PromoInterval_Feb,May,Aug,Nov","PromoInterval_Jan,Apr,Jul,Oct","PromoInterval_Mar,Jun,Sept,Dec",PromoInterval_none
66.12543,9.934868,459.35422,5152.2617,291.20053,21.291883,-122.175156,-75.04525,-10.551195,-2.0737343,34.88226,-3.5897772,8.30888,0.28090099,12.807256,121.19685,-46.04699,1.5742978,-27.756502,545.1362,-331.3536,140.55685,338.04965,2.3763494,-1695.4707,-285.57846,103.05105,-261.9617,84.76842,-1006.9827,98.20616,-264.32178,-753.65125,836.44824,58.033794,7.970051,13.1201725,40.42366,-12.0587635,1.5038549,-30.527697,0.64415604,-14.610263,-2.2352672,-1.1257519
-2.0326393,385.41458,609.6712,-4369.378,250.39998,-6.629242,-95.273705,-64.248474,-8.029351,-13.401509,16.437323,0.27016914,-107.8806,-0.095236346,-38.55921,-157.48596,-10.697346,17.385832,-30.477625,-284.75903,-225.79034,-790.29034,-294.88507,2.990958,-2854.937,-1467.9801,165.20645,-1259.9752,129.35979,-5718.5493,384.0535,-1800.7502,-2310.3562,-340.97662,-58.200848,3.8189049,8.60575,-4.8247595,-65.27193,-2.3912537,-42.631622,3.3656735,-6.371799,-1.4902438,-0.23553342
-5.621728,1004.2757,505.79947,4690.163,366.16165,4.7428055,-109.54382,-59.400692,-4.850697,-2.910385,-38.41283,-5.757649,-50.900764,-0.2980597,17.97921,58.286514,34.719513,-12.09471,-163.08142,425.33246,-120.46492,-442.02316,-292.78482,8.625357,-558.37024,-434.50238,-158.79338,-782.4549,-157.95198,-3510.5154,124.389275,-386.02045,-547.0755,-208.973,-68.90594,6.4149117,7.9049397,-12.414934,-19.533598,0.9817572,19.91346,-8.390797,23.603083,-8.284713,0.4557062
-99.68697,-151.50488,-1215.9432,4525.293,284.10117,-2003.7241,-100.911514,520.5243,-6.3216023,-6.5359845,-90.053085,-13.325028,38.559807,0.48188767,19.547428,10.064048,60.66166,8.791572,81.42068,405.92578,-280.59583,-33.249687,46.186123,111.88039,-1543.4656,-1528.905,-145.24556,-898.6428,-192.78662,-3643.5496,53.235226,-639.3203,-1315.0582,276.26794,103.51967,8.174698,-37.445538,-9.16411,-16.506094,0.4420011,-18.79248,-22.615433,32.98306,-4.1286783,1.2411437
-5.570216,352.78125,-1483.9292,-5355.3516,214.09367,9.001216,-84.64611,-137.60728,-4.8144026,-3.2408583,-96.07038,-1.4584824,-82.316124,1.2119392,21.943449,97.04166,2.923499,-19.651806,2.6739824,-146.61966,-44.511948,-627.8953,74.480965,14.364165,-1775.018,-7.42375,379.15067,-61.89401,33.25357,82.54656,158.09848,109.5413,-513.3265,-789.9342,201.32445,2.6863735,-47.33277,-4.283826,-60.84652,-4.937784,-36.182194,2.8052702,14.511962,-25.739418,0.4557062
-6.1524153,-225.53677,-1290.133,4045.8318,-996.9266,-1949.5691,-78.98985,685.2371,-5.818701,-4.0167117,-75.77809,-13.2319565,-104.75847,6.7964,-108.839005,-39.981335,-21.145638,-16.044567,-35.926468,411.41867,-280.82385,-77.10727,-62.344944,15.400716,-2073.1343,-1282.7816,-178.99326,-772.1547,-211.45007,-3594.6643,-38.680817,-548.7126,-1135.3937,252.98257,-140.52748,9.220475,-4.3932204,-11.277774,-29.639872,-0.011477655,-40.26386,-31.949512,-8.598962,-0.89006144,-0.97057134
21.346794,-75.03949,448.96188,4563.4116,271.71063,18.567669,-111.19518,-67.75168,-7.484785,-2.5903685,33.34764,-2.4213705,-3.543184,-0.34911656,19.489489,53.21689,-25.565197,1.0119426,-20.316486,219.97894,-302.2885,74.44932,34.91437,20.654142,-2319.457,101.62378,-196.76318,-123.87291,-157.38173,-810.35724,68.66088,-130.60535,-893.1366,707.6359,-50.857517,10.457004,16.049345,-14.076189,-9.115004,1.041873,-26.877132,0.82853293,-15.823455,-3.4201787,-1.1257519
-28.16541,165.98749,-1416.1682,3390.7031,241.68405,7.8611426,396.65317,-104.74393,-5.639107,-14.472926,16.929825,-2.9396503,41.78822,0.64908534,-17.18654,105.61275,19.423712,-18.513983,-100.28302,256.06042,-289.3277,155.81532,236.8182,-133.95654,-2056.8433,-1579.9471,-2.834974,-1160.3884,-3.6596806,-4375.285,78.54214,-676.59204,-1107.302,467.4027,173.32115,8.4339075,4.2864604,19.631056,-13.022385,0.050619658,-48.69937,21.058365,-26.550608,-10.409739,1.250272
-4.4079065,2.2608538,483.35965,4404.0376,-1147.9418,4.2240844,700.8522,231.09833,-6.0494423,-4.9429865,41.115574,-4.5288773,1.275927,-0.11165908,25.984724,76.394455,-22.232204,-16.26477,-44.656933,297.686,-353.72745,140.37047,-255.80371,-11.219051,-1563.1616,-1561.7834,-191.66507,-992.31757,-117.90716,-4235.3535,2.8242495,-609.29236,-1077.7527,220.16403,-97.56435,11.169008,-0.9553986,-11.534467,-27.968729,0.7980777,-39.87062,-26.621754,-30.675575,-4.3108506,-0.97057134
18.52219,188.54683,432.1641,4690.03,318.09537,7.711936,719.3657,141.37985,-6.357787,-4.3824387,27.124914,-5.3383813,-44.74864,0.53918666,-52.869793,62.861805,-16.953188,-4.506744,-63.156944,487.14514,-224.13644,235.81612,-36.363113,-2.039802,-1165.804,-593.8865,-89.06386,-728.5548,-33.591244,-3670.733,30.504019,-596.505,-723.3969,280.8251,40.600166,9.494296,7.8239937,27.129534,11.321054,0.41948068,35.126972,-14.740131,-34.669636,-3.988397,-0.97057134
